Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|30330
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|18600
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|8115
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|1445
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|125
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|5410
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|100
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|240
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|590
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|20
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|535
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|125
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|90
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|120
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|215
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|685
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|735
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1145
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|220
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1030
ADD4O|Drama - Production|Grade 12|Open (Grade 9 - 12 level)|<10
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|135
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|210
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|115
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|20
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|95
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|10
ADK4T|Acting|Grade 12|College Delivered (Dual Credits)|<10
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|120
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|85
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|20
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|15
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|155
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|170
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|450
ADV3O|Drama - Film/Video|Grade 11|Open (Grade 9 - 12 level)|75
ADV4M|Drama - Film/Video|Grade 12|University/College Preparation (Grade 11 & 12 level)|310
AEA3O|Exploring and Creating in the Arts|Grade 11|Open (Grade 9 - 12 level)|600
AEA4O|Exploring and Creating in the Arts|Grade 12|Open (Grade 9 - 12 level)|530
AEF4T|Design|Grade 12|College Delivered (Dual Credits)|55
AEL4T|Basic  Design|Grade 12|College Delivered (Dual Credits)|40
AEM4T|Composition and Creativity|Grade 12|College Delivered (Dual Credits)|15
AFA4T|Illustration|Grade 12|College Delivered (Dual Credits)|50
AFD4T|Drawing|Grade 12|College Delivered (Dual Credits)|100
AFI4T|Digital Photography and Image Editing|Grade 12|College Delivered (Dual Credits)|55
AFJ4T|Digital Art and Design|Grade 12|College Delivered (Dual Credits)|165
AFK4T|Digital Photography Techniques|Grade 12|College Delivered (Dual Credits)|160
AFM4T|Digital Applications|Grade 12|College Delivered (Dual Credits)|40
AFR4T|Modelling and Animation|Grade 12|College Delivered (Dual Credits)|20
AHC4T|Music and Movement|Grade 12|College Delivered (Dual Credits)|15
AHE4T|Music and Society|Grade 12|College Delivered (Dual Credits)|<10
AHL4T|History of Rock and Roll|Grade 12|College Delivered (Dual Credits)|15
ALC1O|Integrated Arts|Grade 9|Open (Grade 9 - 12 level)|4395
ALC2O|Integrated Arts|Grade 10|Open (Grade 9 - 12 level)|730
AMB1O|Instrumental Music - Brass|Grade 9|Open (Grade 9 - 12 level)|70
AMB2O|Instrumental Music - Brass|Grade 10|Open (Grade 9 - 12 level)|10
AMB3M|Instrumental Music - Brass|Grade 11|University/College Preparation (Grade 11 & 12 level)|20
AMB4M|Instrumental Music - Brass|Grade 12|University/College Preparation (Grade 11 & 12 level)|40
AMC1O|Music for Creating|Grade 9|Open (Grade 9 - 12 level)|360
AMC2O|Music for Creating|Grade 10|Open (Grade 9 - 12 level)|270
AMC3M|Music for Creating|Grade 11|University/College Preparation (Grade 11 & 12 level)|470
AMC3O|Music for Creating|Grade 11|Open (Grade 9 - 12 level)|80
AMC4M|Music for Creating|Grade 12|University/College Preparation (Grade 11 & 12 level)|335
AMD1O|Electronic Music|Grade 9|Open (Grade 9 - 12 level)|60
AMD2O|Electronic Music|Grade 10|Open (Grade 9 - 12 level)|80
