School Number,School Name,Board Name,School Level,Latitude,Longitude
902344,Algoma Education Connection Secondary School,Algoma DSB,Secondary,46.53477,-84.3077
019186,Anna McCrea Public School,Algoma DSB,Elementary,46.50593,-84.2873
043362,Ben R McMullin Public School,Algoma DSB,Elementary,46.52455,-84.298
054542,Blind River Public School,Algoma DSB,Elementary,46.18454,-82.9576
490822,Boreal French Immersion Public School,Algoma DSB,Elementary,46.52447,-84.3107
137967,Central Algoma Intermediate School,Algoma DSB,Elementary,46.34007,-83.9369
285552,Central Algoma Public School,Algoma DSB,Elementary,46.34875,-83.9253
891347,Central Algoma Secondary School,Algoma DSB,Secondary,46.33811,-83.9355
093548,Central Avenue Public School,Algoma DSB,Elementary,46.3904,-82.6588
900869,Chapleau High School,Algoma DSB,Secondary,47.84273,-83.4083
101214,Chapleau Public School,Algoma DSB,Elementary,47.84496,-83.4033
161276,East View Public School,Algoma DSB,Elementary,46.51668,-84.28
165042,Echo Bay Central Public School,Algoma DSB,Elementary,46.48567,-84.0637
293055,Elliot Lake Intermediate School,Algoma DSB,Elementary,46.3761958,-82.66064332
908010,Elliot Lake Secondary School,Algoma DSB,Secondary,46.37627,-82.6611
186783,Esten Park Public School,Algoma DSB,Elementary,46.37191,-82.6198
202614,Francis H Clergue Public School,Algoma DSB,Elementary,46.51862,-84.3096
227331,Grand View Public School,Algoma DSB,Elementary,46.50955,-84.2659
230561,Greenwood Public School,Algoma DSB,Elementary,46.56732,-84.3528
237191,H M Robbins Public School,Algoma DSB,Elementary,46.5328,-84.3895
917370,Hornepayne High School,Algoma DSB,Secondary,49.21525,-84.7789
264750,Hornepayne Public School,Algoma DSB,Elementary,49.2167,-84.78
278270,Isabel Fletcher Public School,Algoma DSB,Elementary,46.55114,-84.3789
302350,Kiwedin Public School,Algoma DSB,Elementary,46.54201,-84.3351
920533,Korah Collegiate and Vocational School,Algoma DSB,Secondary,46.54269,-84.3816
018309,Korah Intermediate School,Algoma DSB,Elementary,46.54247,-84.3821
926086,Michipicoten High School,Algoma DSB,Secondary,47.99317,-84.7758
195200,Mountain View Public School,Algoma DSB,Elementary,46.77124,-84.3616
891150,North Shore Adolescent Education School,Algoma DSB,Secondary,46.37987,-82.6565
410870,Northern Heights Public School,Algoma DSB,Elementary,46.53072,-84.329
434922,Parkland Public School,Algoma DSB,Elementary,46.51456,-84.2582
442054,Pinewood Public School,Algoma DSB,Elementary,46.52417,-84.2477
462616,Queen Elizabeth Public School,Algoma DSB,Elementary,46.50658,-84.3041
468339,R M Moore Public School,Algoma DSB,Elementary,46.52177,-84.4441
485497,River View Public School,Algoma DSB,Elementary,46.51751,-84.299
515396,Sir James Dunn Public School,Algoma DSB,Elementary,47.99693,-84.7728
530603,St Joseph Island Central Public School,Algoma DSB,Elementary,46.28922,-84.0347
958050,Superior Heights Collegiate and Vocational School,Algoma DSB,Secondary,46.50845,-84.2882
672610,Superior Heights Community Education,Algoma DSB,Elementary,46.53951,-84.3349
106913,Superior Heights Intermediate School,Algoma DSB,Elementary,46.53951,-84.3349
548413,Tarentorus Public School,Algoma DSB,Elementary,46.54554,-84.3085
551660,Thessalon Public School,Algoma DSB,Elementary,46.2604,-83.559
895270,W C Eaket Secondary School,Algoma DSB,Secondary,46.18877,-82.9467
953148,White Pines Collegiate and Vocational School,Algoma DSB,Secondary,46.52684,-84.256
144872,White Pines Intermediate School,Algoma DSB,Elementary,46.52799,-84.2599
765031,Archbishop O'Sullivan Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.2496,-76.5849
827681,Cathedrale Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.23167,-76.491
708011,Georges Vanier Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.18404,-77.4013
715298,Holy Cross Catholic Secondary School,Algonquin and Lakeshore CDSB,Secondary,44.25899,-76.5987
717703,Holy Name Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.30068,-76.4242
865257,Holy Name of Mary Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.22671,-77.1368
719919,Holy Rosary Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.17815,-77.3845
735523,J J O'Neill Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.24701,-76.9636
728420,Loyola Community Learning Centre,Algonquin and Lakeshore CDSB,Secondary,44.2508,-76.5329
835099,Nicholson Catholic College,Algonquin and Lakeshore CDSB,Secondary,44.16855,-77.3825
690932,Nicholson Catholic College (Grade 7 & 8),Algonquin and Lakeshore CDSB,Elementary,44.163489,-77.367578
742279,Our Lady of Fatima Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.16552,-77.4014
746568,Our Lady of Lourdes Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.22013,-76.5708
746690,Our Lady of Mercy Catholic School,Algonquin and Lakeshore CDSB,Elementary,45.05601,-77.8624
706264,Our Lady of Mount Carmel Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.2236,-76.6407
752932,Regiopolis/Notre-Dame Catholic High School,Algonquin and Lakeshore CDSB,Secondary,44.24334,-76.4939
756830,Sacred Heart Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.48104,-77.6787
764370,Sacred Heart Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.17001,-77.5964
868370,Sacred Heart Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.19003,-76.442
781142,St Carthagh Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.47874,-77.317
756642,St Francis of Assisi Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.26086,-76.4907
796220,St Gregory Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.00879,-77.1326
799556,St James Major,Algonquin and Lakeshore CDSB,Elementary,44.77277,-76.6883
815330,St Joseph Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.16896,-77.3584
830984,St Marguerite Bourgeoys Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.25374,-76.5534
823570,St Martha Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.26573,-76.4467
824330,St Martin of Tours Catholic School,Algonquin and Lakeshore CDSB,Elementary,45.49137,-78.2361
831840,St Mary Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.10885,-77.5662
865125,St Mary Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.3069,-77.2217
834688,St Michael Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.16771,-77.3821
764248,St Patrick Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.48645,-77.0527
841773,St Patrick Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.39978,-76.67
706744,St Paul Catholic Elementary School,Algonquin and Lakeshore CDSB,Elementary,44.0943,-77.5974
842761,St Paul Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.24963,-76.5241
841358,St Paul Catholic Secondary School,Algonquin and Lakeshore CDSB,Secondary,44.09403,-77.5981
845493,St Peter Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.09989,-77.579
851752,St Theresa Catholic Secondary School,Algonquin and Lakeshore CDSB,Secondary,44.19052,-77.3819
856150,St Thomas More Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.23513,-76.524
724068,St. John XXIII Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.24649,-76.6039
773875,St. Teresa of Calcutta Catholic School,Algonquin and Lakeshore CDSB,Elementary,44.25586,-76.5982
019313,Anne Hathaway Public School,Avon Maitland DSB,Elementary,43.3579,-80.972
893048,Avon Maitland District E-learning Centre,Avon Maitland DSB,Secondary,43.6186,-81.5326
028673,Avon Public School,Avon Maitland DSB,Elementary,43.37444,-80.9979
039306,Bedford Public School,Avon Maitland DSB,Elementary,43.3824,-80.9722
272319,Bluewater Coast Elementary Public School,Avon Maitland DSB,Elementary,43.43146,-81.5015
066699,Brookside Public School,Avon Maitland DSB,Elementary,43.89914,-81.5709
899569,Central Huron Secondary School,Avon Maitland DSB,Secondary,43.61681,-81.5337
093718,Central Perth Elementary School,Avon Maitland DSB,Elementary,43.46305,-81.0266
112917,Clinton Public School,Avon Maitland DSB,Elementary,43.61488,-81.532
145912,Downie Central Public School,Avon Maitland DSB,Elementary,43.32748,-81.0775
175170,Elma Township Public School,Avon Maitland DSB,Elementary,43.65629,-81.0259
190527,Exeter Elementary School,Avon Maitland DSB,Elementary,43.35124,-81.4776
953776,F E Madill Secondary School,Avon Maitland DSB,Secondary,43.88247,-81.3064
181908,F. E. Madill Elementary,Avon Maitland DSB,Elementary,43.8824,-81.3064
450242,GDCI - Elementary,Avon Maitland DSB,Elementary,43.73417,-81.7112
913600,Goderich District Collegiate Institute,Avon Maitland DSB,Secondary,43.73412,-81.7112
478133,Goderich Public School,Avon Maitland DSB,Elementary,43.73468,-81.7164
242527,Hamlet Public School,Avon Maitland DSB,Elementary,43.3645,-80.9909
268003,Howick Central Public School,Avon Maitland DSB,Elementary,43.88372,-81.054
268640,Hullett Central Public School,Avon Maitland DSB,Elementary,43.69759,-81.4775
273694,Huron Centennial Public School,Avon Maitland DSB,Elementary,43.50722,-81.5155
923095,Listowel District Secondary School,Avon Maitland DSB,Secondary,43.72751,-80.9467
163619,Listowel Eastdale Public School,Avon Maitland DSB,Elementary,43.72679,-80.9496
285535,Little Falls Public School,Avon Maitland DSB,Elementary,43.25111,-81.1319
517103,Maitland River Elementary Public School,Avon Maitland DSB,Elementary,43.88225,-81.3033
366021,Milverton Public School,Avon Maitland DSB,Elementary,43.56293,-80.915
135064,Mitchell District Elementary Public School,Avon Maitland DSB,Elementary,43.47518,-81.1895
927120,Mitchell District High School,Avon Maitland DSB,Secondary,43.47518,-81.1895
372781,Mornington Central Public School,Avon Maitland DSB,Elementary,43.61469,-80.8846
406040,North Easthope Public School,Avon Maitland DSB,Elementary,43.42512,-80.864
459441,North Perth Westfield Elementary School,Avon Maitland DSB,Elementary,43.74007,-80.9644
578519,North Woods Elementary School,Avon Maitland DSB,Elementary,43.71417,-81.145
490040,Romeo Public School,Avon Maitland DSB,Elementary,43.36905,-80.9779
504475,Seaforth Public School,Avon Maitland DSB,Elementary,43.55481,-81.3889
507725,Shakespeare Public School,Avon Maitland DSB,Elementary,43.36207,-80.9829
943118,South Huron District High School,Avon Maitland DSB,Secondary,43.34951,-81.4774
469900,South Huron Elementary Public School,Avon Maitland DSB,Elementary,43.34944,-81.4776
523267,South Perth Centennial Public School,Avon Maitland DSB,Elementary,43.26794,-81.193
528650,Sprucedale Public School,Avon Maitland DSB,Elementary,43.36809,-80.8394
944807,St Marys D.C. & V. I. High School,Avon Maitland DSB,Secondary,43.257,-81.1339
100438,St Marys D.C. & V.I. - Elementary Elementary Public School,Avon Maitland DSB,Elementary,43.25705,-81.1339
535508,Stephen Central Public School,Avon Maitland DSB,Elementary,43.29587,-81.5989
893395,Stratford District Secondary School,Avon Maitland DSB,Secondary,43.385338,-80.993501
097284,Stratford Intermediate School,Avon Maitland DSB,Elementary,43.371098,-80.988298
566667,Upper Thames Elementary School,Avon Maitland DSB,Elementary,43.4736,-81.1857
417556,Bloorview School Authority,Bloorview SA,Elementary,43.71881,-79.3725
010472,Alexandra Community School,Bluewater DSB,Elementary,44.57298,-80.9294
011606,Amabel-Sauble Community School,Bluewater DSB,Elementary,44.65046,-81.2568
022322,Arran Tara Elementary School,Bluewater DSB,Elementary,44.48145,-81.1525
552585,Beaver Valley Community School,Bluewater DSB,Elementary,44.55342,-80.4621
340804,Beavercrest Community School,Bluewater DSB,Elementary,44.3194,-80.64357
918587,Bluewater Alternative Education School,Bluewater DSB,Secondary,44.31022,-81.09646
067709,Bruce Peninsula District School,Bluewater DSB,Elementary,44.98479,-81.2519
896969,Bruce Peninsula District School,Bluewater DSB,Secondary,44.98478,-81.2519
169200,Chesley District Community School,Bluewater DSB,Elementary,44.30696,-81.0976
135143,Dawnview Public School,Bluewater DSB,Elementary,44.14548,-81.0209
458554,Dundalk & Proton Community School,Bluewater DSB,Elementary,44.16499,-80.3897
331307,East Ridge Community School,Bluewater DSB,Elementary,44.56713,-80.9161
167649,Egremont Community School,Bluewater DSB,Elementary,44.06142,-80.7596
293776,Elgin Market Public School,Bluewater DSB,Elementary,44.16484,-81.6435
524239,G C Huston Public School,Bluewater DSB,Elementary,44.49686,-81.3679
180789,Georgian Bay Community School,Bluewater DSB,Elementary,44.59316,-80.58322
925438,Georgian Bay Community School Secondary School,Bluewater DSB,Secondary,44.59316,-80.58322
914444,Grey Highlands Secondary School,Bluewater DSB,Secondary,44.25865,-80.5452
281131,Hanover Heights Community School,Bluewater DSB,Elementary,44.15626,-81.0223
253316,Hepworth Central Public School,Bluewater DSB,Elementary,44.63228,-81.1363
152820,Highpoint Community Elementary School,Bluewater DSB,Elementary,44.16386,-80.3986
257168,Hillcrest Central School,Bluewater DSB,Elementary,43.99987,-81.2903
257869,Hillcrest Elementary School,Bluewater DSB,Elementary,44.56251,-80.9505
262935,Holland-Chatsworth Central School,Bluewater DSB,Elementary,44.41398,-80.8287
273775,Huron Heights Public School,Bluewater DSB,Elementary,44.16912,-81.6201
007681,John Diefenbaker Senior School,Bluewater DSB,Elementary,44.14765,-81.01229
915556,John Diefenbaker Senior School,Bluewater DSB,Secondary,44.14765,-81.01229
291030,Keppel-Sarawak Elementary School,Bluewater DSB,Elementary,44.58898,-80.9544
919454,Kincardine District Secondary School,Bluewater DSB,Secondary,44.17732,-81.6278
151668,Kincardine District Senior School,Bluewater DSB,Elementary,44.17695,-81.6282
293750,Kincardine Township-Tiverton Public School,Bluewater DSB,Elementary,44.18603,-81.6068
323900,Lucknow Central Public School,Bluewater DSB,Elementary,43.95731,-81.5092
198978,Macphail Memorial Elementary School,Bluewater DSB,Elementary,44.2585,-80.5487
364290,Mildmay-Carrick Central School,Bluewater DSB,Elementary,44.0374,-81.1117
401129,Normanby Community School,Bluewater DSB,Elementary,44.05811,-80.9276
403741,Northport Elementary School,Bluewater DSB,Elementary,44.44679,-81.3837
093939,Osprey Central School,Bluewater DSB,Elementary,44.31534,-80.37
951692,Owen Sound District Secondary School Secondary School,Bluewater DSB,Secondary,44.56513,-80.9575
431028,Paisley Central School,Bluewater DSB,Elementary,44.29813,-81.2736
605743,Peninsula Shores District School,Bluewater DSB,Elementary,44.74086,-81.1507
953253,Peninsula Shores District School,Bluewater DSB,Secondary,44.74067,-81.1492
450910,Port Elgin-Saugeen Central School,Bluewater DSB,Elementary,44.43482,-81.3942
484970,Ripley-Huron Community - Junior Campus School,Bluewater DSB,Elementary,44.07316,-81.5823
